Date,Price,Open,High,Low,Change,Month,Year,Change1,
Apr-15,427.13,408.58,467.72,402.73,4.40%,4,2015,1.00,
Mar-15,409.12,430.42,450.55,394.49,-4.53%,3,2015,0.00,
Feb-15,428.51,453.72,467.47,414.37,-5.47%,2,2015,0.00,
Jan-15,453.33,438.99,462.86,411.70,2.70%,1,2015,1.00,
Dec-14,441.39,489.86,491.32,425.81,-10.13%,12,2014,0.00,
Nov-14,491.14,497.29,503.90,477.18,-0.89%,11,2014,0.00,
Oct-14,495.58,467.37,497.14,451.49,5.80%,10,2014,1.00,
Sep-14,468.41,497.46,515.76,454.34,-5.31%,9,2014,0.00,
Aug-14,494.66,492.83,506.70,480.94,-0.77%,8,2014,1.00,
Jul-14,498.50,503.82,516.75,474.75,-0.88%,7,2014,0.00,
Jun-14,502.93,532.33,561.18,495.30,-4.63%,6,2014,0.00,
May-14,527.35,465.59,567.25,458.16,13.77%,5,2014,1.00,
Apr-14,463.51,463.61,489.73,460.19,0.54%,4,2014,0.00,
Mar-14,461.01,396.29,465.49,394.83,16.35%,3,2014,1.00,
Feb-14,396.22,409.22,411.00,392.83,-3.75%,2,2014,0.00,
Jan-14,411.67,444.51,444.91,407.24,-7.15%,1,2014,0.00,
Dec-13,443.40,422.49,450.23,414.45,4.92%,12,2013,1.00,
Nov-13,422.59,450.78,458.92,413.70,-6.72%,11,2013,0.00,
Oct-13,453.05,409.27,454.69,405.01,11.22%,10,2013,1.00,
Sep-13,407.34,422.59,446.27,405.70,-3.68%,9,2013,0.00,
Aug-13,422.92,433.47,437.28,378.36,-2.09%,8,2013,0.00,
Jul-13,431.93,426.95,459.59,415.56,1.10%,7,2013,1.00,
Jun-13,427.25,398.08,432.40,384.01,6.98%,6,2013,1.00,
May-13,399.36,390.00,423.49,385.94,2.30%,5,2013,1.00,
Apr-13,390.40,386.83,409.42,378.49,1.98%,4,2013,1.00,
Mar-13,382.82,404.17,430.62,378.61,-5.03%,3,2013,0.00,
Feb-13,403.10,441.49,446.27,399.09,-8.21%,2,2013,0.00,
Jan-13,439.16,418.04,473.02,414.20,5.61%,1,2013,1.00,
Dec-12,415.83,393.77,420.91,391.17,5.78%,12,2012,1.00,
Nov-12,393.12,393.77,403.62,376.98,-1.46%,11,2012,0.00,
Oct-12,398.97,416.06,426.95,337.97,-3.79%,10,2012,0.00,
Sep-12,414.67,380.39,436.66,376.46,9.24%,9,2012,1.00,
Aug-12,379.60,366.65,408.58,361.85,3.07%,8,2012,1.00,
Jul-12,368.31,364.30,369.55,350.01,0.78%,7,2012,1.00,
Jun-12,365.46,350.35,367.99,333.54,4.57%,6,2012,1.00,
May-12,349.49,370.44,372.17,333.36,-5.30%,5,2012,0.00,
Apr-12,369.05,371.16,377.87,358.45,-0.73%,4,2012,0.00,
Mar-12,371.78,402.09,411.10,355.63,-8.55%,3,2012,0.00,
Feb-12,406.52,405.61,428.29,379.08,0.45%,2,2012,1.00,
Jan-12,404.71,345.13,410.06,340.35,17.92%,1,2012,1.00,
Dec-11,343.22,395.75,418.33,341.27,-10.96%,12,2011,0.00,
Nov-11,385.47,431.16,448.25,371.97,-11.32%,11,2011,0.00,
Oct-11,434.65,391.89,447.76,377.30,8.56%,10,2011,1.00,
Sep-11,400.38,394.61,425.47,370.27,3.29%,9,2011,1.00,
Aug-11,387.63,415.07,415.51,352.66,-5.48%,8,2011,0.00,
Jul-11,410.09,449.24,449.24,407.71,-7.85%,7,2011,0.00,
Jun-11,445.03,471.53,478.96,410.16,-5.60%,6,2011,0.00,
May-11,471.46,487.33,488.77,444.96,-3.24%,5,2011,0.00,
Apr-11,487.26,519.60,527.95,480.45,-6.23%,4,2011,0.00,
Mar-11,519.62,482.28,522.55,477.47,8.80%,3,2011,1.00,
Feb-11,477.60,458.21,499.96,438.39,4.89%,2,2011,1.00,
Jan-11,455.33,527.50,540.58,446.77,-13.17%,1,2011,0.00,
Dec-10,524.38,487.88,532.45,484.78,7.42%,12,2010,1.00,
Nov-10,488.17,555.24,557.17,474.65,-10.09%,11,2010,0.00,
Oct-10,542.98,491.34,549.79,490.35,11.04%,10,2010,1.00,
Sep-10,488.99,458.18,519.33,456.18,7.40%,9,2010,1.00,
Aug-10,455.28,503.23,510.66,453.20,-8.96%,8,2010,0.00,
Jul-10,500.08,536.91,542.09,498.90,-7.36%,7,2010,0.00,
Jun-10,539.81,516.75,541.84,492.88,4.23%,6,2010,1.00,
May-10,517.89,508.18,541.57,483.42,1.16%,5,2010,1.00,
Apr-10,511.95,533.94,569.45,501.25,-3.78%,4,2010,0.00,
Mar-10,532.08,487.88,550.28,485.10,9.73%,3,2010,1.00,
Feb-10,484.88,513.88,523.22,475.07,-6.43%,2,2010,0.00,
Jan-10,518.19,540.43,569.55,504.27,-4.07%,1,2010,0.00,
Dec-09,540.15,532.45,554.74,490.35,2.54%,12,2009,1.00,
Nov-09,526.76,475.51,551.25,446.33,10.14%,11,2009,1.00,
Oct-09,478.25,544.81,565.96,475.99,-12.29%,10,2009,0.00,
Sep-09,545.24,501.45,554.72,476.31,9.80%,9,2009,1.00,
Aug-09,496.57,487.60,526.26,462.52,2.54%,8,2009,1.00,
Jul-09,484.26,502.71,540.63,425.24,-3.36%,7,2009,0.00,
Jun-09,501.10,577.03,589.17,470.54,-10.94%,6,2009,0.00,
May-09,562.64,458.40,627.80,454.69,25.78%,5,2009,1.00,
Apr-09,447.32,377.17,455.68,370.82,18.46%,4,2009,1.00,
Mar-09,377.61,304.29,392.13,276.21,20.43%,3,2009,1.00,
Feb-09,313.54,319.47,350.21,297.52,-4.35%,2,2009,0.00,
Jan-09,327.79,307.09,344.24,263.75,7.37%,1,2009,1.00,
Dec-08,305.29,278.68,348.45,253.84,8.66%,12,2008,1.00,
Nov-08,280.95,356.37,372.77,255.60,-17.52%,11,2008,0.00,
Oct-08,340.63,485.40,486.14,230.32,-29.44%,10,2008,0.00,
Sep-08,482.76,525.02,557.22,437.11,-8.75%,9,2008,0.00,
Aug-08,529.04,537.42,588.42,508.38,-3.23%,8,2008,0.00,
Jul-08,546.69,522.55,579.12,475.49,5.36%,7,2008,1.00,
Jun-08,518.87,601.30,605.26,484.47,-12.83%,6,2008,0.00,
May-08,595.23,749.40,749.40,591.95,-8.07%,5,2008,0.00,
Apr-08,647.49,569.35,673.12,555.61,15.39%,4,2008,1.00,
Mar-08,561.13,594.32,601.40,525.02,-8.02%,3,2008,0.00,
Feb-08,610.08,616.65,654.30,553.50,-0.62%,2,2008,0.00,
Jan-08,613.91,715.72,816.76,525.02,-14.01%,1,2008,0.00,
Dec-07,713.91,715.27,739.99,656.66,1.09%,12,2007,0.00,
Nov-07,706.22,698.38,725.13,638.20,2.44%,11,2007,1.00,
Oct-07,689.42,572.08,740.23,544.27,21.14%,10,2007,1.00,
Sep-07,569.12,485.62,600.80,475.80,17.19%,9,2007,1.00,
Aug-07,485.62,461.87,487.88,416.85,3.56%,8,2007,1.00,
Jul-07,468.93,422.00,482.55,415.09,11.35%,7,2007,1.00,
Jun-07,421.15,439.04,445.77,407.91,-3.31%,6,2007,0.00,
May-07,435.57,390.05,445.23,379.22,12.67%,5,2007,1.00,
Apr-07,386.60,335.57,402.83,323.25,13.92%,4,2007,1.00,
Mar-07,339.36,340.52,342.70,309.12,1.32%,3,2007,0.00,
Feb-07,334.95,338.79,357.71,323.21,-1.02%,2,2007,0.00,
Jan-07,338.40,315.76,353.65,313.06,7.58%,1,2007,1.00,
Dec-06,314.56,308.35,324.18,291.33,2.07%,12,2006,1.00,
Nov-06,308.19,302.38,325.90,302.16,1.51%,11,2006,1.00,
Oct-06,303.62,288.58,307.09,281.95,4.63%,10,2006,1.00,
Sep-06,290.19,276.13,296.39,265.76,4.87%,9,2006,1.00,
Aug-06,276.71,241.21,282.30,235.77,14.15%,8,2006,1.00,
Jul-06,242.40,262.92,272.42,233.16,-7.65%,7,2006,0.00,
Jun-06,262.47,238.98,263.50,199.86,11.07%,6,2006,1.00,
May-06,236.30,253.84,293.32,208.03,-6.73%,5,2006,0.00,
Apr-06,253.34,198.37,260.04,198.37,28.62%,4,2006,1.00,
Mar-06,196.97,175.34,200.10,173.88,12.20%,3,2006,1.00,
